date,electronics_index,finance_index,ratio
2025-03-20,2139.25,2149.42,0.9952684910347908
2025-03-21,2156.86,2138.81,1.008439272305628
2025-03-24,2169.39,2145.78,1.0110029919190222
2025-03-25,2143.05,2144.81,0.9991794144935916
2025-03-26,2148.64,2154.47,0.9972939980598478
2025-03-27,2189.24,2155.18,1.015803784370679
2025-03-28,2223.21,2130.38,1.0435743857903284
2025-03-31,2327.26,2077.27,1.1203454534075976
2025-04-01,2249.03,2100.62,1.070650569831764
2025-04-02,2250.23,2109.23,1.066849039696951
2025-04-07,2468.76,1900.64,1.2989098408956983
2025-04-08,2593.34,1910.69,1.35727930747531
2025-04-09,2735.57,1803.56,1.5167612943289939
2025-04-10,2474.4,1954.4,1.266066311911584
2025-04-11,2385.32,1950.7,1.2228020710514176
2025-04-14,2397.52,1955.01,1.226346668303487
2025-04-15,2357.95,1983.03,1.1890642098203255
2025-04-16,2411.46,1960.2,1.2302112029384757
2025-04-17,2426.95,1943.88,1.2485081383624501
2025-04-18,2417.45,1943.58,1.2438129637061504
2025-04-21,2456.09,1941.93,1.2647675250910178
2025-04-22,2505.76,1914.8,1.3086275329016086
2025-04-23,2363.61,1940.99,1.2177342490172542
2025-04-24,2387.35,1929.14,1.2375203458535926
2025-04-25,2324.95,1949.09,1.192838709346413
2025-04-28,2302.09,1957.73,1.1758975956847983
2025-04-29,2284.15,1986.88,1.1496164841359318
2025-04-30,2287.62,2022.75,1.1309454949944382
2025-05-02,2210.13,2030.13,1.088664272731303
2025-05-05,2241.93,1981.35,1.1315163903399197
2025-05-06,2253.21,2005.33,1.123610577810136
2025-05-07,2246.25,2002.05,1.1219749756499588
2025-05-08,2247.12,1999.51,1.1238353396582161
2025-05-09,2196.29,2015.45,1.08972686000645
2025-05-12,2170.63,2027.96,1.070351486222608
2025-05-13,2145.22,2037.43,1.0529048850758063
2025-05-14,2088.6,2056.19,1.0157621620570083
2025-05-15,2096.15,2068.33,1.013450464867792
2025-05-16,2091.76,2100.44,0.9958675325169966
2025-05-19,2127.95,2076.75,1.0246539063440472
2025-05-20,2129.73,2087.64,1.020161522101512
2025-05-21,2098.77,2111.03,0.9941924084451664
2025-05-22,2114.21,2108.37,1.0027699123019205
2025-05-23,2116.88,2115.49,1.0006570581756473
2025-05-26,2127.8,2096.69,1.0148376727127044
2025-05-27,2148.58,2077.57,1.0341793537642534
2025-05-28,2141.16,2067.72,1.0355173814636411
2025-05-29,2137.39,2050.68,1.0422835352175863
2025-06-02,2178.76,2056.88,1.0592547936680798
2025-06-03,2166.69,2092.53,1.0354403521096471
2025-06-04,2101.99,2115.46,0.9936325905476822
2025-06-05,2091.06,2110.73,0.9906809492450479
2025-06-06,2096.09,2126.73,0.9855929055404307
2025-06-09,2080.28,2143.65,0.9704382711729994
2025-06-10,2020.32,2136.43,0.94565232654475
2025-06-11,1994.23,2148.44,0.928222338068552
2025-06-12,2015.2,2145.65,0.9392025726469834
2025-06-13,2039.3,2147.83,0.949469930115512
2025-06-16,2042.83,2143.68,0.9529547320495597
2025-06-17,2020.29,2138.05,0.94492177451416
2025-06-18,2005.48,2157.35,0.9296034486754584
2025-06-19,2036.57,2141.67,0.9509261464184491
2025-06-20,2022.52,2123.45,0.9524688596387955
2025-06-23,2059.12,2114.63,0.9737495448376311
2025-06-24,2008.95,2138.18,0.9395607479258061
2025-06-25,1978.84,2147.5,0.9214621653084982
2025-06-26,1977.29,2157.97,0.9162731641311047
2025-06-27,1970.54,2167.65,0.9090674232463728
2025-06-30,1999.64,2135.75,0.9362706309259043
2025-07-01,1966.47,2131.9,0.9224025517144331
2025-07-02,1965.24,2125.65,0.9245360242749276
2025-07-03,1953.74,2134.46,0.9153322151738613
2025-07-04,1966.13,2117.41,0.9285542242645497
2025-07-07,1978.75,2137.41,0.9257699739404233
2025-07-08,1981.28,2133.97,0.9284479163249718
2025-07-09,1956.93,2118.72,0.9236378568192117
2025-07-10,1940.19,2147.56,0.9034392519883031
2025-07-11,1937.35,2164.82,0.8949242893173566
2025-07-14,1953.99,2163.27,0.9032575684033893
2025-07-15,1926.77,2165.1,0.889921943559189
2025-07-16,1903.41,2174.05,0.8755134426531128
2025-07-17,1900.25,2171.99,0.8748889267445984
2025-07-18,1868.58,2165.1,0.8630455868089234
2025-07-21,1872.54,2149.35,0.8712122269523345
2025-07-22,1904.38,2141.66,0.8892074372215946
2025-07-23,1879.57,2158.85,0.8706348287282581
2025-07-24,1871.89,2146.7,0.8719849070666605
2025-07-25,1872.16,2140.04,0.8748247696304743
2025-07-28,1865.81,2125.1,0.8779869182626701
2025-07-29,1882.4,2110.55,0.8919002155836157
2025-07-30,1861.4,2124.06,0.8763405930152632
2025-07-31,1846.78,2107.17,0.8764266765377259
2025-08-01,1859.11,2120.47,0.8767443066867251
2025-08-04,1868.42,2154.44,0.8672416033864949
2025-08-05,1838.6,2160.24,0.8511091360219235
2025-08-06,1864.33,2173.48,0.8577626663231315
2025-08-07,1801.84,2159.57,0.8343512828942797
2025-08-08,1800.17,2161.82,0.8327104014210248
2025-08-11,1789.29,2169.88,0.824603203863808
2025-08-12,1789.54,2170.22,0.8245892121536066
2025-08-13,1769.31,2177.73,0.812456089597884
2025-08-14,1787.82,2202.41,0.8117562125126566
2025-08-15,1778.46,2189.35,0.812323292301368
2025-08-18,1767.54,2196.53,0.8046964985681961
2025-08-19,1775.4,2185.37,0.8124024764685157
2025-08-20,1841.9,2167.98,0.8495927084198194
2025-08-21,1814.22,2181.46,0.8316540298699037
2025-08-22,1831.07,2165.99,0.8453732473372454
2025-08-25,1781.19,2175.21,0.8188588687988746
2025-08-26,1771.95,2139.46,0.8282230095444645
2025-08-27,1750.4,2132.59,0.8207859926193033
2025-08-28,1777.06,2131.59,0.8336781463602286
2025-08-29,1775.24,2114.59,0.8395197177703478
2025-09-01,1789.95,2134.49,0.8385843925246781
2025-09-02,1798.06,2162.69,0.8313997845276021
2025-09-03,1791.26,2161.37,0.8287613874533283
2025-09-04,1789.1,2172.39,0.8235629882295536
2025-09-05,1757.3,2179.74,0.8061970693752466
2025-09-08,1751.74,2167.35,0.8082404780030914
2025-09-09,1724.0,2183.59,0.789525506161871
2025-09-10,1692.28,2195.56,0.7707737433729891
2025-09-11,1683.16,2188.18,0.7692054584174978
2025-09-12,1664.28,2211.12,0.7526864213611202
2025-09-15,1672.75,2207.0,0.7579293158133212
2025-09-16,1648.21,2209.37,0.7460090433019368
2025-09-17,1663.32,2196.19,0.7573661659510333
2025-09-18,1635.03,2200.88,0.7428982952273635
2025-09-19,1651.72,2205.18,0.7490182207348154
2025-09-22,1627.39,2210.89,0.7360791355517462
2025-09-23,1595.12,2212.13,0.7210787792760822
2025-09-24,1599.99,2218.78,0.7211125032675614
2025-09-25,1614.37,2203.76,0.7325525465567937
2025-09-26,1646.68,2199.83,0.7485487514944337
2025-09-30,1630.68,2227.81,0.7319654728185977
2025-10-01,1616.18,2224.01,0.7266963727681081
2025-10-02,1581.56,2220.19,0.7123534472274895
2025-10-03,1548.64,2206.26,0.7019299629236808
2025-10-07,1516.92,2208.68,0.6867993552710216
2025-10-08,1529.62,2220.2,0.6889559499144221
2025-10-09,1512.75,2237.02,0.6762344547657151
2025-10-13,1536.8,2212.77,0.6945141157915192
2025-10-14,1546.51,2227.19,0.6943772197253041
2025-10-15,1511.5,2249.51,0.6719241079168352
2025-10-16,1486.02,2242.34,0.6627094909781746
2025-10-17,1509.82,2233.63,0.6759490157277614
2025-10-20,1480.97,2231.67,0.6636151402313066
2025-10-21,1477.13,2241.43,0.6590123269519905
2025-10-22,1487.26,2249.45,0.661166062815355
2025-10-23,1495.79,2250.1,0.6647660103995378
2025-10-27,1461.39,2240.59,0.65223445610308
2025-10-28,1461.08,2214.52,0.6597727724292397
2025-10-29,1436.67,2217.48,0.6478840846366145
2025-10-30,1437.89,2214.79,0.6492218223849666
2025-10-31,1439.29,2199.36,0.654413101993307
2025-11-03,1433.3,2212.79,0.6477343082714582
2025-11-04,1447.09,2224.31,0.6505792807657206
2025-11-05,1473.44,2218.3,0.6642203489158364
2025-11-06,1464.38,2224.92,0.6581719792172304
2025-11-07,1478.63,2207.58,0.6697967910562699
2025-11-10,1462.02,2211.73,0.6610300533971145
2025-11-11,1468.78,2230.05,0.6586309723997219
2025-11-12,1461.95,2231.72,0.6550776979190939
2025-11-13,1467.4,2239.67,0.6551858086235919
2025-11-14,1499.82,2231.74,0.6720406498964934
2025-11-17,1493.46,2216.77,0.6737099473558376
2025-11-18,1535.88,2194.59,0.6998482632291225
2025-11-19,1547.05,2182.96,0.7086937002968446
2025-11-20,1488.59,2212.68,0.6727543069942332
2025-11-21,1553.9,2200.19,0.706257186879315
2025-11-24,1557.33,2243.83,0.6940499057415223
2025-11-25,1522.15,2224.92,0.6841369577333117
2025-11-26,1490.29,2241.63,0.6648242573484473
2025-11-27,1483.03,2250.36,0.6590190014042198
2025-11-28,1476.75,2225.48,0.6635647141290868
2025-12-01,1496.23,2224.46,0.6726261654513904
2025-12-02,1484.55,2252.93,0.6589419112000817
2025-12-03,1469.29,2254.08,0.6518357822260079
2025-12-04,1472.15,2283.49,0.6446929918677113
2025-12-05,1457.69,2288.69,0.6369101975365821
2025-12-08,1434.75,2295.2,0.6251089229696759
2025-12-09,1442.43,2307.44,0.6251213466005616
2025-12-10,1425.64,2294.73,0.6212669900162546
2025-12-11,1450.62,2307.38,0.6286870823184737
2025-12-12,1443.03,2335.22,0.617941778504809
2025-12-15,1466.1,2339.09,0.6267822101757521
2025-12-16,1486.24,2344.86,0.6338288853065854
2025-12-17,1490.06,2396.52,0.6217598851668252
2025-12-18,1493.86,2399.33,0.6226154801548766
2025-12-19,1483.23,2421.68,0.6124797661127812
2025-12-22,1453.22,2436.82,0.5963591894354117
2025-12-23,1441.4,2433.16,0.592398362623091
2025-12-24,1435.72,2420.61,0.5931232210062752
2025-12-26,1423.64,2409.01,0.5909647531558607
2025-12-29,1407.98,2417.84,0.5823296826919895
2025-12-30,1412.64,2408.98,0.5864058647228287
2025-12-31,1393.86,2394.25,0.5821697817688211
2026-01-02,1368.93,2399.86,0.5704207745451818
2026-01-05,1322.11,2412.24,0.5480839385799091
2026-01-06,1296.46,2411.91,0.537524202810221
2026-01-07,1306.86,2398.57,0.5448496395769145
2026-01-08,1311.96,2410.33,0.5443072110457905
2026-01-09,1315.8,2406.15,0.5468487002057228
2026-01-12,1302.16,2400.2,0.5425214565452879
2026-01-13,1294.15,2400.71,0.5390696918828181
2026-01-14,1284.21,2390.33,0.5372521785694863
2026-01-15,1295.48,2411.5,0.5372092058884512
2026-01-16,1264.36,2425.55,0.5212673414277174
2026-01-19,1254.52,2445.2,0.5130541469000491
2026-01-20,1247.25,2428.14,0.5136647804492328
2026-01-21,1270.31,2407.63,0.52761844635596
2026-01-22,1246.26,2410.66,0.5169787527067277
2026-01-23,1235.22,2413.79,0.5117346579445602
2026-01-26,1234.35,2432.06,0.5075327088969844
2026-01-27,1221.02,2420.46,0.504457830329772
2026-01-28,1198.95,2421.67,0.4950922297422853
2026-01-29,1211.34,2434.04,0.497666431118634
2026-01-30,1230.02,2404.41,0.5115683265333284
2026-02-02,1246.12,2385.83,0.5223004153690749
2026-02-03,1219.44,2403.42,0.5073769877923958
2026-02-04,1218.99,2423.45,0.5029977924033919
2026-02-05,1242.06,2439.11,0.5092267261419123
2026-02-06,1239.94,2434.27,0.5093683116498992
2026-02-09,1212.27,2461.06,0.4925804328216297
2026-02-10,1180.08,2474.6,0.4768770710417845
2026-02-11,1159.0,2496.43,0.4642629675176152
2026-02-23,1157.9,2563.99,0.4516008252762297
2026-02-24,1119.13,2558.1,0.4374848520386225
2026-02-25,1091.68,2542.08,0.42944360523665664
2026-02-26,1094.09,2595.77,0.42148957727379543
2026-03-02,1103.57,2539.98,0.43447979905353584
2026-03-03,1132.33,2543.13,0.44525053772319934
2026-03-04,1182.5,2433.29,0.48596755832638117
2026-03-05,1146.86,2459.02,0.466389049296061
2026-03-06,1151.48,2452.35,0.46954146023202237
2026-03-09,1207.82,2402.96,0.5026384126244299
2026-03-10,1177.24,2415.59,0.4873509163392794
2026-03-11,1120.07,2433.54,0.46026364884078336
2026-03-12,1140.64,2432.04,0.46900544398940813
2026-03-13,1147.12,2420.21,0.4739753988290272
2026-03-16,1152.01,2430.14,0.47405087772720916
2026-03-17,1131.89,2450.61,0.46188091944454646
2026-03-18,1111.07,2451.8,0.4531650216167713
2026-03-19,1133.52,2413.35,0.4696873640375412
2026-03-20,1138.99,2423.6,0.4699579138471695
2026-03-23,1167.52,2387.18,0.48907916453723643
2026-03-24,1173.43,2404.54,0.48800602194182674
2026-03-25,1140.42,2440.78,0.4672358836109768
2026-03-26,1144.09,2432.59,0.47031764497921963
2026-03-27,1153.02,2423.05,0.4758548110852025
2026-03-30,1177.81,2390.11,0.4927848509064436
2026-03-31,1209.53,2380.57,0.5080841983222505
2026-04-01,1146.81,2440.62,0.4698847014283256
2026-04-02,1171.37,2441.93,0.47969024501111823
2026-04-07,1143.91,2461.64,0.4646942688614095
