date,window,signal,ratio,moving_average,slope,state
2006-02-06,20,Risk Off,0.3137570479956513,0.32572521765078183,,Risk Off
2006-03-07,20,Risk On,0.32075344769593,0.31174387598290554,0.00034981998501393274,Risk On
2006-04-04,60,Risk On,0.3372069270750584,0.3227056573104965,,Risk On
2006-04-25,20,Risk Off,0.3296666174017693,0.33669445547382304,0.00018532939311993735,Risk Off
2006-04-27,60,Risk Off,0.3124655184520167,0.3248021271004047,-0.00015056916271627419,Risk Off
2006-06-30,120,Risk Off,0.2883102458889952,0.31572272532976936,,Risk Off
2006-07-07,20,Risk On,0.2927649851694249,0.2864586238108229,-0.00010095288008199477,Risk On
2006-07-17,20,Risk Off,0.2795794205686251,0.28656507845470125,5.676036682411567e-05,Risk Off
2006-08-03,20,Risk On,0.295832837628838,0.2890829027335233,0.00019725377925128296,Risk On
2006-08-09,60,Risk On,0.304467762873215,0.2929311853003105,-0.00016709306845558158,Risk On
2006-08-16,120,Risk On,0.3148188280166435,0.30851575069809967,9.357237927454243e-05,Risk On
2006-09-26,20,Risk Off,0.3178323386360258,0.3249295660226087,-0.00019658467186423056,Risk Off
2006-10-02,60,Risk Off,0.3027690300751113,0.3091416310795444,0.00016009632822971964,Risk Off
2007-01-10,20,Risk On,0.3169546697060726,0.31043572336014774,0.0003472643726672442,Risk On
2007-01-11,240,Risk On,0.3183006280965942,0.3116816642432659,-1.3329333826694878e-05,Risk On
2007-01-12,60,Risk On,0.3201117372063778,0.31285307028377846,0.00010848083381198581,Risk On
2007-06-20,20,Risk Off,0.355413253627438,0.3671424545166418,-1.4979589363250945e-05,Risk Off
2007-07-12,60,Risk Off,0.3490712479288392,0.35859550374241755,0.00019577405346321575,Risk Off
2007-07-18,120,Risk Off,0.3311710080793858,0.3444173188572142,3.9756982441296884e-05,Risk Off
2007-07-30,120,Risk On,0.355011292532119,0.34606362370702254,0.0002887098493811191,Risk On
2007-08-01,20,Risk On,0.358859303246995,0.34973066944408504,-0.0001822389240429545,Risk On
2007-08-02,60,Risk On,0.3671462252802771,0.35854713460035553,0.00027621528668353434,Risk On
2007-09-19,20,Risk Off,0.3682695933474904,0.38015593924164953,-9.804574232580299e-05,Risk Off
2007-10-22,20,Risk On,0.3832391159266675,0.37404620947572254,0.0005746821820278858,Risk On
2007-11-12,20,Risk Off,0.3624510290232125,0.37662727264536067,-0.0002032255689041751,Risk Off
2007-11-12,60,Risk Off,0.3624510290232125,0.3762705361434671,-0.00013050624369748132,Risk Off
2007-12-05,20,Risk On,0.3781301302965442,0.368153306525662,0.00029544343722420763,Risk On
2007-12-13,20,Risk Off,0.3542447933218924,0.3679891652051704,-0.000497547902123141,Risk Off
2007-12-13,120,Risk Off,0.3542447933218924,0.36873204270218485,-7.478579267905516e-05,Risk Off
2007-12-31,20,Risk On,0.3754038406175696,0.36555553692761256,0.0004736653117486944,Risk On
2008-01-04,20,Risk Off,0.3512605220193796,0.36402684804484853,-0.001149259993495022,Risk Off
2008-01-07,240,Risk Off,0.3382966698547952,0.35688824888109955,6.277176214075642e-05,Risk Off
2008-02-20,20,Risk On,0.2942510389395517,0.2880054963455231,-0.0003014798584480838,Risk On
2008-03-20,20,Risk Off,0.2801461742331732,0.2968394133164206,-0.0007052432353189531,Risk Off
2008-05-06,20,Risk On,0.2889620890999779,0.28053670736269026,-3.092597485548909e-05,Risk On
2008-05-21,60,Risk On,0.2934435356087534,0.28737990865893737,8.039928133307672e-06,Risk On
2008-06-25,20,Risk Off,0.2799985081167772,0.28635267908727247,-0.0003800973036295896,Risk Off
2008-07-02,20,Risk On,0.3,0.28692560786058363,0.0007106082950112391,Risk On
2008-07-02,120,Risk On,0.3,0.29014342623573575,-0.0005742412565598598,Risk On
2008-08-18,240,Risk On,0.3343823116518484,0.3230771603635211,-0.000191085003433622,Risk On
2008-09-02,20,Risk Off,0.3182982660056456,0.3263962908601511,0.0005820078708692611,Risk Off
2008-09-10,240,Risk Off,0.3079158103607115,0.3191900083650148,-0.00031201202126118766,Risk Off
2008-09-12,60,Risk Off,0.3034696243531056,0.3110146576120966,0.0002984701223449071,Risk Off
2008-09-16,60,Risk On,0.319051387713888,0.3119814705974146,0.0005972313029551368,Risk On
2008-09-17,240,Risk On,0.328088304368248,0.31775923103270376,-0.00021074414058219748,Risk On
2008-09-18,20,Risk On,0.3447220579538734,0.32394498802337685,0.000541027140117889,Risk On
2008-11-03,20,Risk Off,0.3526231832683445,0.3729978230686288,8.8357317354959e-05,Risk Off
2008-11-05,60,Risk Off,0.3377461782123674,0.3452467595777154,0.00031964021995295466,Risk Off
2008-11-19,120,Risk Off,0.312274868384594,0.32416149210409,0.00023323714645445692,Risk Off
2008-12-01,240,Risk Off,0.3023347066902099,0.31300200950682305,-0.0002464169745742262,Risk Off
2009-01-08,20,Risk On,0.3079843860894251,0.3003877559214124,0.0007839424018597496,Risk On
2009-01-12,240,Risk On,0.3187122511371262,0.3085638628771981,0.00011617086884901928,Risk On
2009-01-16,60,Risk On,0.3269090209655703,0.31965103923282284,-0.0008296661625387114,Risk On
2009-02-02,120,Risk On,0.341022621126589,0.3289832201197626,0.0002863709378194135,Risk On
2009-03-19,20,Risk Off,0.3852087875230588,0.39684143467983624,0.000797233306057743,Risk Off
2009-04-03,60,Risk Off,0.3520398481973434,0.3636074252995804,0.000954443495893742,Risk Off
2009-04-27,20,Risk On,0.3734941699413773,0.35907915226753195,-0.000918113510582852,Risk On
2009-05-05,20,Risk Off,0.3473421141506247,0.35869436351381034,4.473022741247057e-05,Risk Off
2009-05-07,120,Risk Off,0.3314968209337082,0.34532585557813555,7.041221900827566e-05,Risk Off
2009-05-19,240,Risk Off,0.3246038570200221,0.33505617377016056,0.00017317125139365563,Risk Off
2009-06-09,20,Risk On,0.3375477916941331,0.326485682453403,0.000444906697338876,Risk On
2009-06-24,20,Risk Off,0.3198820898556617,0.3276861168197158,-0.00011698620024741535,Risk Off
2009-07-13,20,Risk On,0.3388395728804837,0.32324617306282455,0.00023982790224880146,Risk On
2009-07-14,60,Risk On,0.3430563877662897,0.3336415612859563,-0.00014596444606040926,Risk On
2009-08-12,240,Risk On,0.3535308785742314,0.34159094795051625,0.00010115630250484564,Risk On
2009-08-20,120,Risk On,0.3622007670942997,0.34939155027462576,-0.0002970414511258568,Risk On
2009-09-10,20,Risk Off,0.3488936005716495,0.36214764274700817,-4.981410875032344e-05,Risk Off
2009-10-01,60,Risk Off,0.340729848950675,0.34864892072133374,0.0002976749074308227,Risk Off
2009-10-07,120,Risk Off,0.3296448485240668,0.34127698181670973,-0.0001847450500487291,Risk Off
2009-10-07,240,Risk Off,0.3296448485240668,0.3433804479112416,-0.00018935476781878346,Risk Off
2009-10-29,20,Risk On,0.3403984301484932,0.3325650640723547,-1.657094010909521e-05,Risk On
2009-11-17,120,Risk On,0.3466476146169098,0.33965835731865945,0.00022578709071391367,Risk On
2009-11-18,240,Risk On,0.3505826519016956,0.3430784597995334,0.00023524341358077683,Risk On
2009-11-19,60,Risk On,0.3521133053346439,0.3436153698276423,-0.0002749988617198329,Risk On
2010-03-03,20,Risk Off,0.3738059477320516,0.3835080274147043,-0.000488601082344664,Risk Off
2010-04-21,20,Risk On,0.3970070846787797,0.3871424827036918,0.0006951139811668949,Risk On
2010-05-13,20,Risk Off,0.3876928684242497,0.39756118611598074,8.500593728250072e-05,Risk Off
2010-06-22,60,Risk Off,0.3837930906343288,0.3920897394709277,-7.169441510651575e-05,Risk Off
2010-06-25,120,Risk Off,0.3764937769623642,0.38653484990528597,2.4115700518245742e-05,Risk Off
2010-07-02,240,Risk Off,0.3605970295693979,0.3684714202179614,0.00010200356276912625,Risk Off
2010-10-28,20,Risk On,0.3576533947983732,0.3494813396916246,6.621683322372007e-05,Risk On
2010-11-16,60,Risk On,0.3597487098945479,0.3519739394273775,0.00011437208056197523,Risk On
2010-11-23,120,Risk On,0.3676356853646331,0.3597457980384792,-0.00026343465085543194,Risk On
2010-12-27,20,Risk Off,0.3457948650534426,0.3598308052340392,-0.0011928948878335843,Risk Off
2010-12-27,60,Risk Off,0.3457948650534426,0.3560865981628323,-1.3667009242102068e-05,Risk Off
2010-12-27,120,Risk Off,0.3457948650534426,0.35614885629538606,-0.0001912462799395498,Risk Off
2011-02-11,20,Risk On,0.3371664849519656,0.32778341393475957,0.0005918622694575104,Risk On
2011-03-22,20,Risk Off,0.3320991229521761,0.33979335757663226,-0.00021361220815124815,Risk Off
2011-08-30,20,Risk On,0.2903942254303164,0.2835821585590192,3.503160577761344e-05,Risk On
2011-09-09,60,Risk On,0.3034909227191058,0.29613553661062375,-0.0003891940787378867,Risk On
2011-09-14,120,Risk On,0.3186397680599178,0.3119505055981023,-9.031061393433015e-05,Risk On
2011-10-07,20,Risk Off,0.3164280103921214,0.323035978611646,0.0007799055973468638,Risk Off
2011-11-07,20,Risk On,0.3268244599082343,0.32003864711972524,0.0005198224758056758,Risk On
2011-11-10,240,Risk On,0.3328059400266603,0.32393247353156257,-0.0001405802164363701,Risk On
2011-12-02,20,Risk Off,0.3264565377371434,0.3339481370934385,0.00016629886129782,Risk Off
2011-12-19,20,Risk On,0.3445440956651719,0.33090043478390674,0.0002744707222250842,Risk On
2012-02-04,20,Risk Off,0.3328036113222322,0.3418103457694851,-1.1186808147378713e-05,Risk Off
2012-02-22,20,Risk On,0.3508515074140879,0.3439141033058074,0.00024317711136195852,Risk On
2012-04-30,20,Risk Off,0.3610447685349865,0.3698026492075376,-0.0003387824670335049,Risk Off
2012-06-08,60,Risk Off,0.3583537402080824,0.3666277718341737,2.8926312362176354e-05,Risk Off
2012-07-10,120,Risk Off,0.3506991517217337,0.35950848744219227,7.156500586541492e-05,Risk Off
2012-07-24,240,Risk Off,0.3324761917068317,0.34029151450922623,0.0001982469320750413,Risk Off
2012-08-14,20,Risk On,0.3408115562041628,0.3327429503525495,8.840586158620489e-05,Risk On
2012-09-03,60,Risk On,0.352993632173225,0.3458351282683591,-8.933513391429226e-05,Risk On
2012-09-03,240,Risk On,0.352993632173225,0.3457490405920488,0.00015191673170317221,Risk On
2012-10-09,240,Risk Off,0.3404601889501563,0.34848477799393784,9.485465674474725e-05,Risk Off
2012-11-14,120,Risk On,0.3561397566504259,0.34855657748625657,-0.00010255237949241547,Risk On
