date,signal,ratio,ma20,slope,state
1999-01-21,Risk On,1.1068183968967673,1.0405725002407178,,Risk On
1999-02-12,Risk Off,1.1000706708163361,1.1324007342933293,0.0015087593077236505,Risk Off
1999-03-24,Risk On,1.0353446592726578,1.0115871733935307,-0.0014619605686743142,Risk On
1999-04-13,Risk Off,1.0219833450277773,1.0477275749197894,0.0015558227222605137,Risk Off
1999-04-26,Risk On,1.0606434050509823,1.0394051787024339,0.0010469075116170679,Risk On
1999-04-27,Risk Off,1.016402500879482,1.037476094092145,-0.0019290846102888448,Risk Off
1999-05-10,Risk On,1.0300545678061963,1.0094548985632725,-0.00033845697440559874,Risk On
1999-07-26,Risk Off,1.1324404922670723,1.1587790538551839,0.0003611448811353668,Risk Off
1999-08-06,Risk On,1.2347481881732099,1.1818157525642832,0.003261744044957604,Risk On
1999-08-23,Risk Off,1.1685864975907205,1.1941576445525297,0.0018073002661824766,Risk Off
1999-08-26,Risk On,1.2319953511268193,1.2017786530815606,0.003231367227049642,Risk On
1999-10-08,Risk Off,1.3186324026164595,1.355688207299659,-0.0016224285758916768,Risk Off
1999-11-10,Risk On,1.2804098991639534,1.250517987190453,-0.003612003007647857,Risk On
2000-01-13,Risk Off,1.5887264904402547,1.6418734433864617,0.002576092922313089,Risk Off
2000-01-20,Risk On,1.7009349163975545,1.647998296407308,0.003278553662090289,Risk On
2000-01-26,Risk Off,1.60096379835187,1.6584974576822216,-0.0016802081090130372,Risk Off
2000-02-03,Risk On,1.6849849677782618,1.6349065539517968,-0.001565046762660005,Risk On
2000-03-15,Risk Off,1.8974200770539016,1.9871776993330639,0.004621465245010503,Risk Off
2000-05-01,Risk On,1.6670580127143653,1.6291403656893393,-0.00597908254272328,Risk On
2000-05-08,Risk Off,1.566614058253028,1.6074468608513466,-0.011990023496540658,Risk Off
2000-06-07,Risk On,1.4865112469975401,1.4495069330578791,-0.0027609685932719064,Risk On
2000-07-10,Risk Off,1.5305939959316324,1.5762366751175623,-0.00019427013966932805,Risk Off
2000-07-17,Risk On,1.6188955792147208,1.5848044266750168,0.00013109458980142819,Risk On
2000-07-21,Risk Off,1.5183282850469297,1.5658948132082533,-0.005455328993078767,Risk Off
2000-08-23,Risk On,1.4163100519756757,1.378293784135664,-0.0032788676966657437,Risk On
2000-09-06,Risk Off,1.3456054055395354,1.3950845697530785,-0.00028715757242858686,Risk Off
2000-10-19,Risk On,1.1730728358442308,1.1454660421008924,-0.006744900940400145,Risk On
2000-10-25,Risk Off,1.0595943131460401,1.1346436329253418,-0.005768045449236814,Risk Off
2001-01-10,Risk On,0.8410998620372417,0.8181006178247371,-0.00572372889296735,Risk On
2001-02-02,Risk Off,0.8546595147279372,0.8847216218229456,0.001446581896722643,Risk Off
2001-03-22,Risk On,0.7677234528401359,0.7256727666741709,9.12008183063806e-05,Risk On
2001-03-28,Risk Off,0.6830456038736871,0.7222338326347408,-0.0020014781427786232,Risk Off
2001-04-12,Risk On,0.704159833929839,0.6860467242375881,0.0002739880589330834,Risk On
2001-05-14,Risk Off,0.7144177837639711,0.7371432159884029,0.0011149409490788242,Risk Off
2001-05-21,Risk On,0.7555924525851859,0.7343683672744387,0.0008496618424956859,Risk On
2001-05-29,Risk Off,0.7023444790967747,0.7343000361006083,-0.0018791210628985588,Risk Off
2001-06-07,Risk On,0.7329435122273278,0.7175873196579905,-0.0004961461651540322,Risk On
2001-06-13,Risk Off,0.6977148986205236,0.7154347642182354,-0.0005546980818628144,Risk Off
2001-06-29,Risk On,0.6979931101087764,0.6835536661203971,0.000275567349225625,Risk On
2001-07-06,Risk Off,0.6516130463774791,0.6766012002696596,-0.004066523292492463,Risk Off
2001-07-12,Risk On,0.6897751226417435,0.6674400529569139,-0.00039698879893901307,Risk On
2001-07-18,Risk Off,0.6491961616049302,0.6680332371659643,-0.000189978675500857,Risk Off
2001-08-02,Risk On,0.6807424296831748,0.6645071508265238,0.0005778771788710335,Risk On
2001-08-08,Risk Off,0.6507558117123358,0.6658219388377843,-0.00036812470244884654,Risk Off
2001-10-05,Risk On,0.5920230375442517,0.5795349574694532,-0.0012305631298537012,Risk On
2001-12-19,Risk Off,0.6513243383383972,0.6668143037611265,0.0002913390255161463,Risk Off
2002-01-03,Risk On,0.6772272067023838,0.663215587699486,0.00011745535623575165,Risk On
2002-01-16,Risk Off,0.6436728362001812,0.6569233101117106,-0.0016797107174495451,Risk Off
2002-05-15,Risk On,0.5054492003574019,0.4952610547168604,-0.0011053345648189272,Risk On
2002-06-03,Risk Off,0.4763833628973825,0.4908381342662955,0.0004850701343819819,Risk Off
2002-07-12,Risk On,0.4570824189939014,0.443165248760607,-0.0008874581007540239,Risk On
2002-07-25,Risk Off,0.44384599979357914,0.4530821923016656,0.00021743063394813467,Risk Off
2002-08-19,Risk On,0.44511358261068645,0.4326636232616412,-0.0011938484031183694,Risk On
2002-08-30,Risk Off,0.4185884511627379,0.4306897280209836,-0.00023611206195173207,Risk Off
2002-10-07,Risk On,0.43036537670809105,0.4196460558802252,0.00047839350283745974,Risk On
2002-12-09,Risk Off,0.4711494190019355,0.4834193767873994,3.173532167494164e-05,Risk Off
2003-01-07,Risk On,0.48671822600582937,0.47106215548745356,8.688918570270987e-05,Risk On
2003-01-17,Risk Off,0.4521054298855375,0.4726071564875654,-0.000786304011972716,Risk Off
2003-02-14,Risk On,0.4746674044175921,0.46463504061931565,4.140844549999079e-05,Risk On
2003-04-01,Risk Off,0.4638459381061939,0.4785066618602099,-0.0003992783623307794,Risk Off
2003-05-06,Risk On,0.468793188363258,0.45638040077826725,0.00034958817725899705,Risk On
2003-07-18,Risk Off,0.4650468935261926,0.4746383339831374,-0.0006250863725986155,Risk Off
2003-08-19,Risk On,0.48127634078409665,0.46641498868902,0.0007926237658439916,Risk On
2003-09-24,Risk Off,0.49305898959495686,0.5031714730167861,0.00015696935022635472,Risk Off
2004-01-05,Risk On,0.5016150115626035,0.49074650275569687,8.826578144588426e-05,Risk On
2004-01-29,Risk Off,0.49541090913356195,0.5070305176811477,0.0002673897763013633,Risk Off
2004-04-02,Risk On,0.4754852844352799,0.46007868188076334,0.0006556470058116659,Risk On
2004-04-30,Risk Off,0.4647945696444266,0.47669767351678427,0.00013201809350282812,Risk Off
2004-05-11,Risk On,0.4871356587278362,0.476974560531146,0.0005514278288377139,Risk On
2004-07-06,Risk Off,0.46677788444927854,0.47705158221810107,-0.0001260885018536939,Risk Off
2004-09-20,Risk On,0.4456713285524415,0.43668774893597095,0.00040627901209738804,Risk On
2005-01-04,Risk Off,0.46086923952646625,0.470676654656528,-0.0010911159060406628,Risk Off
2005-03-24,Risk On,0.4635472528014829,0.45429911394290867,0.0005209136385423419,Risk On
2005-04-15,Risk Off,0.44790671748851024,0.46000958921381513,-0.00019344316298169906,Risk Off
2005-05-13,Risk On,0.46117414401308465,0.4494186919681358,0.0006633713262287344,Risk On
2005-10-26,Risk Off,0.4488499135597031,0.46061117555770215,-0.0011225562296056646,Risk Off
2006-08-15,Risk On,0.4027924056898066,0.3933104700407343,0.0002605536535116304,Risk On
2006-12-18,Risk Off,0.4171922375521564,0.4263312774760049,-0.0006482803728205533,Risk Off
2007-02-27,Risk On,0.425978808685625,0.41555083533472664,0.00037746403023408703,Risk On
2007-08-16,Risk Off,0.48064273978084326,0.4963312961488587,-0.00012264245063320356,Risk Off
2007-08-30,Risk On,0.5032330724978248,0.4893460369545071,0.00015457852440853292,Risk On
2007-11-14,Risk Off,0.5366284785156507,0.5491133942756574,0.0006556929808723133,Risk Off
2007-11-20,Risk On,0.5774623694638013,0.5540660055824409,0.002048707142995765,Risk On
2007-11-30,Risk Off,0.5459416880668658,0.5618980379553878,-0.0009897929891534707,Risk Off
2007-12-12,Risk On,0.5811533939135832,0.5593254510857256,0.002175276036485152,Risk On
2008-01-11,Risk Off,0.5664845702105827,0.5869140815979081,-0.0007334411851499523,Risk Off
2008-02-13,Risk On,0.5496821138584382,0.5361216200133418,-0.001620043053897735,Risk On
2008-03-20,Risk Off,0.5415888985598624,0.5638011931909915,-4.8037470094297596e-05,Risk Off
2008-04-14,Risk On,0.5837265619388846,0.5667288680773513,-0.00015403184090334587,Risk On
2008-07-18,Risk Off,0.6980740545625569,0.719486399960962,0.00100211279801532,Risk Off
2008-08-12,Risk On,0.7036754000283216,0.6696965595589194,-0.005360536496754165,Risk On
2008-08-29,Risk Off,0.6721549097786131,0.696349703412971,0.0012771859391255136,Risk Off
2008-10-07,Risk On,0.6598183798098384,0.6343053164017659,0.0010945429154738395,Risk On
2008-10-14,Risk Off,0.6228304535414383,0.6402398007752894,-0.0013804277192088765,Risk Off
2008-10-16,Risk On,0.6648298586636031,0.6389614822219409,0.0003966623545572645,Risk On
2008-11-04,Risk Off,0.6614036139556697,0.6788765660051412,7.92617072915558e-05,Risk Off
2008-11-06,Risk On,0.6938834355944303,0.676948443024815,-0.0020626202971065766,Risk On
2008-12-05,Risk Off,0.7380075697026865,0.7786087239008344,0.0022062067054129386,Risk Off
2008-12-15,Risk On,0.8209997839056328,0.7943371364245329,0.004461197487082624,Risk On
2008-12-16,Risk Off,0.7768865740937002,0.7952145050934398,0.0008773686689069748,Risk Off
2008-12-23,Risk On,0.8031681778554145,0.780305282872669,-0.000938168953690921,Risk On
2009-03-12,Risk Off,1.1251886473659118,1.1899061694273492,0.004816570630974848,Risk Off
2009-06-02,Risk On,0.9233509283647446,0.893307497212527,-0.0008731816113718427,Risk On
2009-07-31,Risk Off,0.9382053589848619,0.9627742455615251,-0.0012475498525493789,Risk Off
2009-09-02,Risk On,0.8828912127075716,0.8622036839210214,0.0007331773237601036,Risk On
2009-09-22,Risk Off,0.8450870519609872,0.8630966255510263,-0.0007183416501753692,Risk Off
2009-10-21,Risk On,0.887044313286244,0.862889387387274,0.0012263589534557973,Risk On
2010-01-06,Risk Off,0.9503174698003539,0.9723212127551835,-0.00026382763870735904,Risk Off
2010-04-27,Risk On,0.9166904272178229,0.8895056639063377,0.0011592849420928308,Risk On
2010-06-25,Risk Off,0.9116473261176022,0.930922169110176,0.00048453314113672263,Risk Off
2010-07-19,Risk On,0.9496212034568519,0.9270013356416007,0.000702047911868231,Risk On
2010-09-13,Risk Off,0.9265763020719084,0.9464284445611366,-0.0006364883634499829,Risk Off
2010-09-22,Risk On,0.973813830033362,0.9468108647005928,0.0006984752460392762,Risk On
2010-11-05,Risk Off,1.0023797579218263,1.0247210190265865,0.0007878807408543409,Risk Off
2010-11-26,Risk On,1.0463390001084634,1.0253312754397794,0.00044612496903684296,Risk On
2010-12-09,Risk Off,0.9986178832915603,1.021229563210579,-0.0009113698155556182,Risk Off
2011-04-20,Risk On,1.0158386405599855,0.9868353082522787,0.0020011642125584705,Risk On
2011-10-20,Risk Off,1.2267326169311865,1.2584125789486769,-0.0025921997624840376,Risk Off
2011-11-14,Risk On,1.246670487580876,1.2184576145209045,-0.002936159128752003,Risk On
2011-12-07,Risk Off,1.2162946921261097,1.253370173586197,0.00015387456597992788,Risk Off
2012-02-24,Risk On,1.2211647477019227,1.1951102982374233,0.0016796395405969111,Risk On
2012-03-15,Risk Off,1.1866167707360098,1.2126984596380666,-0.001046317655034379,Risk Off
2012-04-10,Risk On,1.2266108523470955,1.1941799791723524,0.0001752581263714248,Risk On
2012-07-13,Risk Off,1.1935242305975797,1.225667091903829,-0.001959906688079105,Risk Off
2013-08-12,Risk On,0.9837208735892425,0.9625320854790399,0.0004839959278806205,Risk On
2013-10-17,Risk Off,0.9745046821251511,0.99770390198893,-0.0007277015140199072,Risk Off
2013-10-31,Risk On,1.0180642450985147,0.997942474059023,0.0007628119900592312,Risk On
2013-11-22,Risk Off,0.9892495943512943,1.0121912294933257,-0.0005093017031407854,Risk Off
2014-01-23,Risk On,1.0322729199185123,1.011312014250662,0.0008349764895561052,Risk On
2014-03-07,Risk Off,1.01343635806305,1.0353053381076134,-0.000579595977541203,Risk Off
2015-01-14,Risk On,1.0746611622520548,1.0525549515162629,0.0011308110182652875,Risk On
2015-03-12,Risk Off,1.0620197006942997,1.0932263444958097,-0.0007300231572935356,Risk Off
2015-04-24,Risk On,1.107806262758995,1.0797858815195882,0.0015897755806277836,Risk On
2015-06-12,Risk Off,1.0627252299808918,1.086945243279466,-0.001472951678838097,Risk Off
2015-09-02,Risk On,1.082413379021149,1.0549231915537014,0.0015964547787441496,Risk On
2016-04-19,Risk Off,1.1811026872830033,1.2201899517590384,-0.0010023497223290434,Risk Off
2016-06-10,Risk On,1.1826931744097449,1.1562115815853642,0.002138866910785353,Risk On
2016-08-30,Risk Off,1.1945810668574206,1.219564549378564,-0.0017650915694689129,Risk Off
2016-09-15,Risk On,1.2367552624905622,1.2110616004329504,0.0009959321329555682,Risk On
2016-11-03,Risk Off,1.196377934868376,1.2220516533669787,-0.0016750733068038315,Risk Off
2017-01-17,Risk On,1.0897167098071572,1.0583970330452719,0.001981741301644968,Risk On
2017-06-09,Risk Off,1.1662567934782404,1.2082796928043464,-0.0009115372789525455,Risk Off
2017-07-19,Risk On,1.1705863366041136,1.1438072227219254,0.0007162367210262754,Risk On
2017-09-20,Risk Off,1.1703778300853596,1.1979348168054926,-0.0004759332704704633,Risk Off
2017-10-30,Risk On,1.187995234591733,1.1603647992007218,0.002038422121719341,Risk On
2017-11-29,Risk Off,1.1699744931954053,1.21898522755346,-0.0013138644077816952,Risk Off
2018-02-28,Risk On,1.1925014804247862,1.1663595939561324,0.001783899192665972,Risk On
2018-07-27,Risk Off,1.288268460765253,1.3272603792895823,-0.0015018268761237685,Risk Off
2018-08-30,Risk On,1.343445584917344,1.3161682023233268,0.0018170135085986416,Risk On
2018-10-08,Risk Off,1.3009888746480724,1.3373228365344159,-0.0007236247485824521,Risk Off
2018-10-23,Risk On,1.3684974674568722,1.3409604938227215,0.0017824121865970266,Risk On
2018-11-05,Risk Off,1.2910096852166852,1.331650630426768,-0.0004989594715691936,Risk Off
2018-12-06,Risk On,1.3178701890076927,1.2728845356328475,0.001276399982206522,Risk On
2019-01-03,Risk Off,1.261310540790254,1.3189377141845753,-0.0013910104979624194,Risk Off
2019-02-05,Risk On,1.3167059203727864,1.2816935202559525,0.001601600269969694,Risk On
2019-05-13,Risk Off,1.379257816855345,1.416054786569051,-0.0020677734111791413,Risk Off
2019-06-12,Risk On,1.4182324565619016,1.3894124600196598,0.0013859510708709166,Risk On
2019-09-10,Risk Off,1.442591189779952,1.4824205870564793,-0.0007059076177067247,Risk Off
2019-10-09,Risk On,1.4787343143448082,1.4454325352955286,0.0014689936726546282,Risk On
2019-10-22,Risk Off,1.4199625640092821,1.4556206535011054,-0.0005743003046803086,Risk Off
2019-12-23,Risk On,1.4877273234607955,1.458404148855485,0.0020076014028607148,Risk On
2020-04-09,Risk Off,1.8135697662179227,1.9056331742195982,-0.0016650692608302098,Risk Off
2020-04-14,Risk On,1.9565820692355032,1.9155204702681268,0.006758783986980266,Risk On
2020-05-27,Risk Off,2.0051484734870426,2.1226049860074916,0.0036591426340999433,Risk Off
2020-06-17,Risk On,2.1102993547632445,2.0549951163085867,-0.0044489819296118505,Risk On
2020-07-16,Risk Off,2.1828791405345025,2.229491411811014,0.0036289892885625896,Risk Off
2020-08-03,Risk On,2.3281464642370264,2.237358672554867,0.0029659556433343504,Risk On
2020-08-11,Risk Off,2.182166290992022,2.2375585024330222,-0.0029872559943857624,Risk Off
2020-08-17,Risk On,2.295928295141829,2.2448535475981464,0.0008531655968262442,Risk On
2020-09-08,Risk Off,2.269677612946476,2.3481854627396404,0.0010893660204644995,Risk Off
2020-09-25,Risk On,2.397423462698435,2.3445784135314693,3.4541385561137616e-05,Risk On
2020-10-22,Risk Off,2.3283232679826535,2.3788566471293935,-0.0018650261098964727,Risk Off
2020-11-06,Risk On,2.4075156488358562,2.3594751973236767,0.002659527969782083,Risk On
2020-11-09,Risk Off,2.2086869469117407,2.350307869626743,-0.009167327696933736,Risk Off
2020-12-17,Risk On,2.2133158893950386,2.163908996916519,0.0018048055646451289,Risk On
2021-01-06,Risk Off,2.0439189811466125,2.181695275647121,-0.006341036338837203,Risk Off
2021-01-25,Risk On,2.191259590880871,2.1174689631151566,0.0002976570185335703,Risk On
2021-02-17,Risk Off,2.0940157115682743,2.1685250206507445,0.002176721372766366,Risk Off
